virus_taxid	virus_name	virus_lineage	short_name	name_taxid	host_name	host_lineage
3038233	Pseudomonas phage 10P302A	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	10P302A	10P302A_taxid_3038233	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
2911431	Pseudomonas phage 119X	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fredfastierviridae; Jamesmcgillvirus; Jamesmcgillvirus jv119X	119X	119X_taxid_2911431	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
581037	Pseudomonas phage 14-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus pv141	14-1	14-1_taxid_581037	['Pseudomonas', 'Pseudomonas aeruginosa PAO1']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae', 'Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa']
1729936	Pseudomonas phage 17A	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; Ghunavirus 17A	17A	17A_taxid_1729936	['Pseudomonas']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae']
198110	Pseudomonas phage 201phi2-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	201phi2-1	201phi2-1_taxid_198110	['Pseudomonas chlororaphis']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas chlororaphis group']
3028482	Pseudomonas phage 20Aug401	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; unclassified Phikmvvirus	20Aug401	20Aug401_taxid_3028482	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028483	Pseudomonas phage 20Aug470	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fredfastierviridae; Jamesmcgillvirus; unclassified Jamesmcgillvirus	20Aug470	20Aug470_taxid_3028483	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028487	Pseudomonas phage 20Oct199	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	20Oct199	20Oct199_taxid_3028487	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028488	Pseudomonas phage 20Sep416	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pakpunavirus; unclassified Pakpunavirus	20Sep416	20Sep416_taxid_3028488	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028489	Pseudomonas phage 20Sep418	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pakpunavirus; unclassified Pakpunavirus	20Sep418	20Sep418_taxid_3028489	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028490	Pseudomonas phage 20Sep420	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	20Sep420	20Sep420_taxid_3028490	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2163970	Pseudomonas phage 22PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	22PfluR64PP	22PfluR64PP_taxid_2163970	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
3056485	Pseudomonas phage 4P	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	4P	4P_taxid_3056485	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2163980	Pseudomonas phage 67PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	67PfluR64PP	67PfluR64PP_taxid_2163980	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
2912301	Pseudomonas phage 6917	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	6917	6917_taxid_2912301	['Pseudomonas']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae']
2912302	Pseudomonas phage 6959	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	6959	6959_taxid_2912302	['Pseudomonas']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae']
2163977	Pseudomonas phage 71PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	71PfluR64PP	71PfluR64PP_taxid_2163977	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
347325	Pseudomonas phage 73	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Septimatrevirus; Septimatrevirus sv73	73	73_taxid_347325	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2723907	Pseudomonas phage 8P	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	8P	8P_taxid_2723907	['Pseudomonas']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae']
2163965	Pseudomonas phage 98PfluR60PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Littlefixvirus; unclassified Littlefixvirus	98PfluR60PP	98PfluR60PP_taxid_2163965	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
1775248	Pseudomonas phage AAT-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pamexvirus; unclassified Pamexvirus	AAT-1	AAT-1_taxid_1775248	['Pseudomonas aeruginosa PA14']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa']
2163982	Pseudomonas phage Achelous	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Colwellvirinae; Uliginvirus; Uliginvirus achelous	Achelous	Achelous_taxid_2163982	['Pseudomonas syringae pv. avii']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
1235689	Pseudomonas phage AF	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	AF	AF_taxid_1235689	['Pseudomonas putida']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas putida group']
2869573	Pseudomonas phage AH02	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	AH02	AH02_taxid_2869573	['Pseudomonas koreensis']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
2869574	Pseudomonas phage AH05	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	AH05	AH05_taxid_2869574	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
2794941	Pseudomonas phage AIIMS-Pa-A1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; unclassified Phikmvvirus	AIIMS-Pa-A1	AIIMS-Pa-A1_taxid_2794941	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2801525	Pseudomonas phage AIIMS-Pa-B1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus	AIIMS-Pa-B1	AIIMS-Pa-B1_taxid_2801525	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2873380	Pseudomonas phage AIIMS-Plu-RaNi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Bradleyvirinae; Abidjanvirus; unclassified Abidjanvirus	AIIMS-Plu-RaNi	AIIMS-Plu-RaNi_taxid_2873380	['Pseudomonas luteola']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas']
2873451	Pseudomonas phage ALEA	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	ALEA	ALEA_taxid_2873451	['Pseudomonas syringae pv. tomato']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group']
2928829	Pseudomonas phage Almagne	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	Almagne	Almagne_taxid_2928829	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
2163983	Pseudomonas phage Alpheus	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Colwellvirinae; Uliginvirus; Uliginvirus alpheus	Alpheus	Alpheus_taxid_2163983	['Pseudomonas syringae pv. avii']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
3003706	Pseudomonas phage Amjad_SA	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	Amjad_SA	Amjad_SA_taxid_3003706	['Pseudomonas alcaligenes']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
1868597	Pseudomonas phage AN14	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; Pseudomonas virus M6	AN14	AN14_taxid_1868597	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
1873949	Pseudomonas phage Andromeda	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Bifseptvirus; Bifseptvirus andromeda	Andromeda	Andromeda_taxid_1873949	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
2719595	Pseudomonas phage antinowhere	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus antinowhere	antinowhere	antinowhere_taxid_2719595	['Pseudomonas aeruginosa PAO1']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa']
3047163	Pseudomonas phage APTC-PA18	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	APTC-PA18	APTC-PA18_taxid_3047163	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3050039	Pseudomonas phage Arefeen1	Viruses; unclassified bacterial viruses	Arefeen1	Arefeen1_taxid_3050039	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2928830	Pseudomonas phage Astolliot	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Otagovirus; unclassified Otagovirus	Astolliot	Astolliot_taxid_2928830	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
2663264	Pseudomonas phage AUS531phi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	AUS531phi	AUS531phi_taxid_2663264	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
151599	Pseudomonas phage B3	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beetrevirus; Beetrevirus B3	B3	B3_taxid_151599	['Pseudomonas aeruginosa PAO1']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa']
2801385	Pseudomonas phage Bertil	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; unclassified Krylovirinae	Bertil	Bertil_taxid_2801385	['Pseudomonas syringae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
1100790	Pseudomonas phage Bf7	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Bifseptvirus; Bifseptvirus Bf7	Bf7	Bf7_taxid_1100790	['Pseudomonas tolaasii']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
2894349	Pseudomonas phage BHU-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Samunavirus; unclassified Samunavirus	BHU-1	BHU-1_taxid_2894349	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2719835	Pseudomonas phage billy	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	billy	billy_taxid_2719835	['Pseudomonas aeruginosa PAO1']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa']
2713154	Pseudomonas phage BIM BV-45	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Bifseptvirus; unclassified Bifseptvirus	BIM_BV-45	BIM_BV-45_taxid_2713154	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
2713155	Pseudomonas phage BIM BV-46	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus Pf10	BIM_BV-46	BIM_BV-46_taxid_2713155	['Pseudomonas fluorescens']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group']
2079288	Pseudomonas phage Bjorn	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bjornvirus; Bjornvirus bjorn	Bjorn	Bjorn_taxid_2079288	['Pseudomonas sp.']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas']
3028486	Pseudomonas phage bmx-p1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus	bmx-p1	bmx-p1_taxid_3028486	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028484	Pseudomonas phage bmx-p2	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	bmx-p2	bmx-p2_taxid_3028484	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3028485	Pseudomonas phage bmx-p3	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pakpunavirus; unclassified Pakpunavirus	bmx-p3	bmx-p3_taxid_3028485	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
3040668	Pseudomonas phage BRkr	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	BRkr	BRkr_taxid_3040668	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2894361	Pseudomonas phage BroderSalsa	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Krylovvirus; unclassified Krylovvirus	BroderSalsa	BroderSalsa_taxid_2894361	['Pseudomonas sp.']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas']
2029635	Pseudomonas phage BrSP1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus BrSP1	BrSP1	BrSP1_taxid_2029635	['Pseudomonas aeruginosa', 'Pseudomonas sp.']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group', 'Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas']
2982892	Pseudomonas phage BUCT-PX-5	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Septimatrevirus; unclassified Septimatrevirus	BUCT-PX-5	BUCT-PX-5_taxid_2982892	['Pseudomonas aeruginosa']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group']
2776766	Pseudomonas phage BUCT553	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Colwellvirinae; Uliginvirus; unclassified Uliginvirus	BUCT553	BUCT553_taxid_2776766	['Pseudomonas syringae pv. actinidiae']	['Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1']
