cluster_assessed	protein_assessed	GNATlike	Vcleft	Bhelix	Ploop	identified_through	final_assessment
ncbi_uid_409994672	ncbi_uid_409994672	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_425702522	ncbi_uid_425702522	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_441462327	ncbi_uid_441462327	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_469615828	ncbi_uid_469615828	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_529282473	ncbi_uid_529282473	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_529282538	ncbi_uid_529282538	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_563784784	ncbi_uid_563784784	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_604671243	ncbi_uid_604671243	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_817035629	ncbi_uid_817035629	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_936761670	ncbi_uid_936761670	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1003341973	ncbi_uid_1003341973	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1024212699	ncbi_uid_1024212699	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2095866533	ncbi_uid_1024212706	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1033017453	ncbi_uid_1033017453	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1033017478	ncbi_uid_1033017478	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1049307885	ncbi_uid_1049307885	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1049307969	ncbi_uid_1049307969	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1188257337	ncbi_uid_1188257337	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1199937604	ncbi_uid_1199937604	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1199937949	ncbi_uid_1199937949	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1209836313	ncbi_uid_1209836313	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1209836440	ncbi_uid_1209836440	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1241129549	ncbi_uid_1241129549	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1249580732	ncbi_uid_1249580732	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1278224174	ncbi_uid_1278224174	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1278227339	ncbi_uid_1278227339	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1336447772	ncbi_uid_1336447772	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1336447791	ncbi_uid_1336447791	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1336447949	ncbi_uid_1336447949	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1336447972	ncbi_uid_1336447972	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1338671668	ncbi_uid_1338671668	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1348413310	ncbi_uid_1348413310	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1348413325	ncbi_uid_1348413325	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1384045050	ncbi_uid_1384045050	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045074	ncbi_uid_1384045074	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045098	ncbi_uid_1384045098	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045143	ncbi_uid_1384045143	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045168	ncbi_uid_1384045168	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045191	ncbi_uid_1384045191	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1384045216	ncbi_uid_1384045216	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1417808047	ncbi_uid_1417808047	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1585561465	ncbi_uid_1585561465	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1608087485	ncbi_uid_1608087485	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1635513501	ncbi_uid_1635513501	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1635513512	ncbi_uid_1635513512	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1682780537	ncbi_uid_1682780537	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1682780646	ncbi_uid_1682780646	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1682780652	ncbi_uid_1682780652	no	NA	NA	NA	acetyltransferase annotation	likely acetyltransferase (LPS/O-acetyltransferase)
ncbi_uid_2337449728	ncbi_uid_1696892041	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1735347860	ncbi_uid_1735347860	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1774219721	ncbi_uid_1774219721	partial	no	yes	no	acetyltransferase annotation	unlikely acetyltransferase (GNAT)
ncbi_uid_1774219721_elongated	ncbi_uid_1774219721_elongated	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1774219732	ncbi_uid_1774219732	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1822268081	ncbi_uid_1822268081	yes	yes	possibly	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_1822268140	ncbi_uid_1822268140	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_1834462510	ncbi_uid_1834462510	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1834462562	ncbi_uid_1834462562	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1835946238	ncbi_uid_1834462819	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1846451714	ncbi_uid_1846451714	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1870356847	ncbi_uid_1870356847	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_2095937200	ncbi_uid_1882569386	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1896094894	ncbi_uid_1896094894	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1896095102	ncbi_uid_1896095102	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1908379327	ncbi_uid_1908379327	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_1930263161	ncbi_uid_1930263161	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1930263183	ncbi_uid_1930263183	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1953658318	ncbi_uid_1953658318	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1955689470	ncbi_uid_1955689470	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1971775846	ncbi_uid_1971775846	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_985788856	ncbi_uid_1983930285	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2082222344	ncbi_uid_2082222344	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2071735829	ncbi_uid_2095867012	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_2127008227	ncbi_uid_2127008227	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2162915325	ncbi_uid_2162915325	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2162915422	ncbi_uid_2162915422	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2177196495	ncbi_uid_2177196495	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_2190146247	ncbi_uid_2190146247	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_2190146464	ncbi_uid_2190146464	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2203408470	ncbi_uid_2203408470	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_2203408508	ncbi_uid_2203408508	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2296131990	ncbi_uid_2296131990	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2296132030	ncbi_uid_2296132030	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2296132347	ncbi_uid_2296132347	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2306487985	ncbi_uid_2306487985	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_2315201755	ncbi_uid_2315201755	yes	possibly	yes	yes	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_2333487596	ncbi_uid_2333487596	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_2347366784	ncbi_uid_2347366784	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2347366798	ncbi_uid_2347366798	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2366068006	ncbi_uid_2366068006	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_1735347570	ncbi_uid_2438087843	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2459354655	ncbi_uid_2459354655	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_2459381996	ncbi_uid_2459381996	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2492010664	ncbi_uid_2492010664	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2492010672	ncbi_uid_2492010672	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_2492075379	ncbi_uid_2492075379	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_2569304313	ncbi_uid_2569304313	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_2569304401	ncbi_uid_2569304401	no	NA	NA	NA	structural similarity	unlikely acetyltransferase (GNAT)
ncbi_uid_165880743	ncbi_uid_378407725	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_1908379219	ncbi_uid_1278224063	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
