# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160334_sorted.bam" "SRR13160327_sorted.bam" "SRR13160337_sorted.bam" "SRR13160328_sorted.bam" "SRR13160329_sorted.bam" "SRR13160336_sorted.bam" "SRR13160338_sorted.bam" "SRR13160331_sorted.bam" "SRR13160330_sorted.bam" "SRR13160335_sorted.bam" "SRR13160332_sorted.bam" "SRR13160333_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160334_sorted.bam	SRR13160327_sorted.bam	SRR13160337_sorted.bam	SRR13160328_sorted.bam	SRR13160329_sorted.bam	SRR13160336_sorted.bam	SRR13160338_sorted.bam	SRR13160331_sorted.bam	SRR13160330_sorted.bam	SRR13160335_sorted.bam	SRR13160332_sorted.bam	SRR13160333_sorted.bam
gene-PA0055	NC_002516.2	70130	70636	-	507	17	39	25	65	53	3	16	18	60	18	49	22
gene-PA0056	NC_002516.2	70702	71622	-	921	8	17	9	33	17	1	1	5	18	3	20	4
gene-PA0057	NC_002516.2	71730	72617	+	888	3	9	5	8	7	0	1	2	10	1	10	2
gene-PA0058	NC_002516.2	72680	73384	+	705	2	2	5	8	4	0	2	2	5	2	6	0
gene-PA0059	NC_002516.2	73468	73923	+	456	11	14	15	31	19	1	7	15	56	11	52	25
gene-PA0060	NC_002516.2	74034	74267	+	234	28	57	25	98	78	1	13	26	128	22	101	44
gene-PA0061	NC_002516.2	74279	74716	-	438	11	24	6	42	27	0	7	6	45	10	33	13
gene-PA0062	NC_002516.2	74773	75189	-	417	9	15	13	18	18	1	1	16	48	4	37	16
gene-PA0063	NC_002516.2	75281	76408	+	1128	16	82	12	67	46	1	9	19	79	5	45	21
gene-PA0064	NC_002516.2	76416	77399	-	984	19	63	13	104	69	2	10	15	70	15	65	27
gene-PA0065	NC_002516.2	77432	78097	-	666	9	45	16	75	59	1	7	3	65	8	45	15
gene-PA0066	NC_002516.2	78090	78632	-	543	13	57	19	96	85	1	9	17	57	8	55	16
gene-PA0067	NC_002516.2	78710	80755	+	2046	44	259	59	310	263	5	40	57	235	51	268	58
gene-PA0068	NC_002516.2	80752	81027	+	276	9	57	8	53	64	0	10	11	66	17	47	22
gene-PA0069	NC_002516.2	81116	82174	+	1059	12	50	17	81	77	2	7	20	76	9	72	9
gene-PA0070	NC_002516.2	82404	83318	-	915	264	954	294	1214	1212	12	143	449	1349	153	1614	382
gene-PA0071	NC_002516.2	83380	85092	-	1713	145	882	146	928	767	6	85	227	776	124	732	233
gene-PA0072	NC_002516.2	85085	86284	-	1200	5	63	4	74	59	1	2	8	67	4	26	7
gene-PA0073	NC_002516.2	86284	87003	-	720	8	27	2	48	34	0	0	7	57	2	23	3
gene-PA0074	NC_002516.2	87000	90098	-	3099	38	209	43	284	266	1	20	59	278	22	217	41
gene-PA0075	NC_002516.2	90106	90834	-	729	12	97	13	94	77	0	4	20	103	9	70	6
gene-PA0076	NC_002516.2	90844	91524	-	681	9	55	8	65	49	0	5	17	43	8	42	6
gene-PA0077	NC_002516.2	91521	94826	-	3306	74	452	103	577	575	5	47	83	469	49	444	55
gene-PA0078	NC_002516.2	95048	96397	-	1350	25	86	21	153	126	1	9	29	164	13	108	18
gene-PA0079	NC_002516.2	96404	97738	-	1335	28	125	15	140	137	2	10	31	128	14	91	24
gene-PA0080	NC_002516.2	97754	98218	-	465	12	63	11	74	60	0	9	17	76	7	52	9
gene-PA0081	NC_002516.2	98263	99756	-	1494	34	313	39	325	194	3	40	61	248	26	153	67
gene-PA0082	NC_002516.2	100124	101158	+	1035	103	711	114	591	443	8	69	153	604	51	420	131
gene-PA0083	NC_002516.2	101247	101765	+	519	107	446	121	502	410	8	64	139	441	51	527	119
gene-PA0084	NC_002516.2	101778	103274	+	1497	356	1378	399	1474	1343	17	170	425	1516	176	1676	392
gene-PA0085	NC_002516.2	103350	103838	+	489	528	1965	602	2329	1918	14	259	422	2431	222	2357	628
gene-PA0086	NC_002516.2	104006	104851	+	846	62	255	59	319	226	2	21	86	269	24	190	45
gene-PA0087	NC_002516.2	104853	105362	+	510	23	72	22	104	87	0	14	29	85	6	92	13
gene-PA0088	NC_002516.2	105359	107218	+	1860	58	207	42	215	202	6	18	27	171	11	154	46
gene-PA0089	NC_002516.2	107182	108228	+	1047	41	267	52	230	241	5	13	30	167	13	127	57
gene-PA0090	NC_002516.2	108221	110929	+	2709	100	463	109	575	481	6	52	106	542	48	419	100
gene-PA0091	NC_002516.2	110976	112907	+	1932	66	500	104	491	510	5	36	80	505	42	403	96
gene-PA0092	NC_002516.2	113022	113306	-	285	16	127	27	102	85	1	7	18	80	11	84	29
gene-PA0093	NC_002516.2	113303	114595	-	1293	45	232	55	184	146	2	26	35	189	31	106	81
gene-PA0094	NC_002516.2	114611	115045	-	435	5	60	7	61	53	0	8	7	40	6	24	11
gene-PA0095	NC_002516.2	115299	117524	+	2226	53	287	61	380	291	1	45	55	352	56	236	67
gene-PA0096	NC_002516.2	117552	118001	+	450	5	17	10	41	30	0	6	6	33	8	24	7
gene-PA0097	NC_002516.2	117931	119130	+	1200	8	35	13	43	42	0	4	10	56	7	43	12
gene-PA0098	NC_002516.2	119127	120164	+	1038	9	26	10	27	19	1	3	8	50	0	14	7
gene-PA0099	NC_002516.2	120164	121324	+	1161	28	64	20	89	65	1	14	27	132	7	94	42
gene-PA0100	NC_002516.2	121346	122266	+	921	59	190	59	212	202	5	24	59	252	37	217	90
gene-PA0101	NC_002516.2	122248	123495	+	1248	25	62	24	95	76	3	16	36	111	9	79	15
gene-PA0102	NC_002516.2	123871	124599	+	729	17	78	28	126	97	3	22	19	86	20	85	23
gene-PA0103	NC_002516.2	124810	126381	+	1572	6	31	12	39	29	1	6	7	41	7	9	8
gene-PA0103a	NC_002516.2	126368	127006	-	639	7	34	5	50	39	1	3	4	38	11	19	10
gene-PA0105	NC_002516.2	127378	128502	+	1125	15	50	18	65	26	0	13	14	55	9	26	18
gene-PA0106	NC_002516.2	128512	130104	+	1593	5	29	9	39	27	2	5	5	27	9	33	17
gene-PA0107	NC_002516.2	130115	130669	+	555	2	8	3	5	6	0	1	0	11	1	5	4
gene-PA0108	NC_002516.2	130680	131567	+	888	7	30	6	23	10	0	1	6	18	4	15	9
gene-PA0109	NC_002516.2	131583	131792	-	210	4	20	3	8	5	0	2	3	9	3	3	11
gene-PA0110	NC_002516.2	131808	132602	+	795	4	7	2	13	4	0	3	3	12	1	8	8
gene-PA0111	NC_002516.2	132577	133155	+	579	1	2	1	5	1	0	0	1	1	1	4	1
gene-PA0112	NC_002516.2	133220	134293	+	1074	4	5	5	7	10	0	2	1	12	1	10	1
gene-PA0113	NC_002516.2	134319	135233	+	915	6	30	12	55	36	0	6	8	28	3	28	4
gene-PA0114	NC_002516.2	135259	135894	+	636	11	62	19	101	82	3	7	24	96	9	82	18
gene-PA0115	NC_002516.2	135934	136386	-	453	14	116	20	159	131	3	23	22	155	16	110	27
gene-PA0116	NC_002516.2	136518	136991	+	474	28	84	24	96	59	1	14	18	79	26	80	27
gene-PA0117	NC_002516.2	137248	137976	+	729	4	25	8	52	17	0	5	6	29	6	28	6
gene-PA0118	NC_002516.2	138001	138588	+	588	11	19	8	28	8	1	4	3	19	6	13	10
gene-PA0119	NC_002516.2	138818	140167	+	1350	11	63	14	76	57	0	9	12	84	12	52	23
gene-PA0120	NC_002516.2	140216	140902	+	687	4	26	8	24	17	1	4	11	54	7	31	9
gene-PA0121	NC_002516.2	141003	141737	+	735	11	26	5	46	28	1	6	7	39	8	36	5
gene-PA0122	NC_002516.2	141917	142327	+	411	24	90	23	140	100	1	12	15	188	12	97	49
gene-PA0123	NC_002516.2	142359	143267	-	909	16	37	16	55	61	1	8	7	39	8	31	14
gene-PA0124	NC_002516.2	143567	143848	-	282	7	22	11	35	31	0	3	8	29	5	21	15
gene-PA0125	NC_002516.2	143845	144072	-	228	10	17	13	48	48	2	11	8	31	7	20	13
gene-PA0126	NC_002516.2	144248	144868	-	621	22	40	19	36	42	3	5	13	43	11	51	10
gene-PA0127	NC_002516.2	144969	145469	+	501	4	35	19	39	42	1	3	8	36	7	37	13
gene-PA0128	NC_002516.2	145542	145883	+	342	56	361	78	497	563	4	33	96	505	51	609	102
gene-PA0129	NC_002516.2	145965	147392	-	1428	48	86	48	123	106	3	29	23	131	26	182	61
gene-PA0130	NC_002516.2	147561	149054	-	1494	14	42	15	42	33	1	12	12	74	14	46	29
gene-PA0131	NC_002516.2	149138	149425	-	288	10	22	16	43	26	0	5	17	61	6	34	15
gene-PA0132	NC_002516.2	149425	150771	-	1347	13	30	19	38	28	0	7	7	55	8	32	14
gene-PA0133	NC_002516.2	150906	151823	+	918	14	23	12	45	38	0	4	8	39	13	43	18
gene-PA0134	NC_002516.2	151936	153306	-	1371	18	27	17	43	43	1	7	12	69	14	35	16
gene-PA0135	NC_002516.2	153696	153836	+	141	0	3	1	3	1	0	0	0	0	0	3	2
gene-PA0136	NC_002516.2	154417	155988	+	1572	6	23	8	28	21	1	3	3	26	2	10	4
gene-PA0137	NC_002516.2	155988	157085	+	1098	10	9	8	9	8	0	0	4	13	4	6	2
gene-PA0138	NC_002516.2	157108	158034	+	927	6	10	6	18	10	0	3	5	26	2	9	6
gene-PA0139	NC_002516.2	158199	158762	+	564	59	265	67	462	299	17	64	155	314	97	377	130
gene-PA0140	NC_002516.2	158907	160472	+	1566	43	157	57	305	214	4	38	81	440	29	268	47
gene-PA0141	NC_002516.2	160552	161448	-	897	50	157	34	119	114	6	17	168	513	34	332	160
gene-PA0142	NC_002516.2	161906	163255	+	1350	7	60	19	60	34	0	7	13	47	8	19	13
gene-PA0143	NC_002516.2	163363	164415	+	1053	19	86	25	160	130	2	15	20	103	14	90	20
gene-PA0144	NC_002516.2	164443	165069	-	627	10	63	7	100	70	0	8	10	57	3	45	6
gene-PA0145	NC_002516.2	165219	165737	-	519	10	19	8	30	19	0	6	11	31	2	23	9
gene-PA0146	NC_002516.2	165976	167073	+	1098	11	33	14	33	23	0	3	5	31	5	23	14
gene-PA0147	NC_002516.2	167146	168108	+	963	5	18	5	19	16	1	4	7	25	5	13	7
gene-PA0148	NC_002516.2	168213	169163	+	951	19	70	15	119	89	1	14	26	87	25	89	38
gene-PA0149	NC_002516.2	169361	169906	+	546	20	19	11	31	22	0	5	6	15	5	11	3
gene-PA0150	NC_002516.2	169903	170898	+	996	22	29	10	59	31	0	10	7	25	5	19	5
gene-PA0151	NC_002516.2	171047	173434	+	2388	11	27	12	46	22	0	9	9	40	4	32	18
gene-PA0152	NC_002516.2	173811	174638	+	828	21	25	22	97	67	1	12	5	53	15	34	5
gene-PA0153	NC_002516.2	174773	175492	+	720	10	11	8	11	13	0	1	3	16	3	18	4
gene-PA0154	NC_002516.2	175503	176108	+	606	2	34	10	25	29	1	4	9	29	5	21	22
gene-PA0155	NC_002516.2	176315	177154	+	840	6	20	5	36	30	1	5	4	19	5	26	9
gene-PA0156	NC_002516.2	177307	178458	+	1152	28	74	36	217	199	2	23	31	155	18	124	18
gene-PA0157	NC_002516.2	178455	179525	+	1071	13	44	18	99	74	1	7	17	68	10	77	11
gene-PA0158	NC_002516.2	179522	182569	+	3048	65	306	76	475	435	2	51	80	386	57	395	138
gene-PA0159	NC_002516.2	182768	183706	+	939	19	60	15	107	79	0	10	22	64	12	76	17
gene-PA0160	NC_002516.2	183822	184007	+	186	1	17	1	16	12	0	5	3	9	2	8	10
gene-PA0162	NC_002516.2	184594	185928	+	1335	37	149	46	371	303	7	19	65	158	39	274	48
gene-PA0163	NC_002516.2	185957	186754	-	798	6	60	12	61	51	0	4	11	36	4	37	9
gene-PA0164	NC_002516.2	186832	188448	+	1617	11	196	10	113	109	0	8	14	189	4	91	11
gene-PA0165	NC_002516.2	189120	189956	+	837	19	35	11	92	66	1	9	22	47	17	76	29
gene-PA0166	NC_002516.2	190198	191604	+	1407	4	19	7	16	12	0	6	4	13	7	13	4
gene-PA0167	NC_002516.2	191697	192362	+	666	11	99	19	144	109	0	9	22	98	13	79	24
gene-PA0168	NC_002516.2	192368	192958	+	591	12	54	16	100	78	0	5	7	65	7	49	12
gene-PA0169	NC_002516.2	192965	193672	-	708	10	88	9	154	117	1	3	13	88	6	90	11
gene-PA0170	NC_002516.2	193799	194179	-	381	3	69	5	83	60	0	3	8	40	1	68	12
gene-PA0171	NC_002516.2	194206	194748	-	543	6	46	4	113	83	0	0	13	58	6	91	8
gene-PA0172	NC_002516.2	194757	196748	-	1992	12	150	17	218	221	2	5	15	169	11	136	47
gene-PA0173	NC_002516.2	197011	198060	-	1050	2	6	1	6	2	0	1	0	14	1	3	2
gene-PA0174	NC_002516.2	198080	198682	-	603	2	0	2	4	1	0	0	0	3	2	3	1
gene-PA0175	NC_002516.2	198688	199530	-	843	0	6	4	4	5	0	0	1	9	1	5	1
gene-PA0176	NC_002516.2	199600	201639	-	2040	4	25	6	30	27	0	3	3	45	1	16	8
gene-PA0177	NC_002516.2	201675	202160	-	486	12	20	10	24	24	0	3	8	27	3	10	2
gene-PA0178	NC_002516.2	202147	204066	-	1920	13	36	12	30	22	0	7	5	36	3	20	6
gene-PA0179	NC_002516.2	204094	204459	-	366	2	14	0	9	6	0	2	2	14	1	6	5
gene-PA0180	NC_002516.2	204657	205829	-	1173	13	38	8	50	35	0	7	7	35	8	32	19
gene-PA0181	NC_002516.2	206022	206954	-	933	7	16	7	22	14	0	2	2	22	5	14	6
gene-PA0182	NC_002516.2	207071	207823	+	753	4	10	2	8	11	0	2	3	8	2	11	4
gene-PA0183	NC_002516.2	207923	209533	-	1611	12	22	8	22	18	0	3	6	41	9	17	10
gene-PA0184	NC_002516.2	209621	210460	-	840	3	5	1	5	2	0	2	3	14	2	11	1
gene-PA0185	NC_002516.2	210457	212073	-	1617	4	3	2	4	3	0	2	1	10	3	5	1
gene-PA0186	NC_002516.2	212340	213401	+	1062	3	16	8	17	10	0	3	1	17	2	13	7
gene-PA0187	NC_002516.2	213819	214634	+	816	1	7	1	7	13	0	0	1	5	0	5	2
gene-PA0188	NC_002516.2	214631	215512	+	882	5	7	4	6	7	2	4	3	8	0	6	3
gene-PA0189	NC_002516.2	215550	216908	-	1359	6	14	3	10	10	1	3	2	11	4	11	2
gene-PA0190	NC_002516.2	217156	217881	+	726	4	4	3	5	7	0	3	6	3	2	2	1
gene-PA0191	NC_002516.2	217905	218822	-	918	4	10	3	11	10	0	4	2	8	0	8	3
gene-PA0192	NC_002516.2	219172	221544	+	2373	8	13	5	21	19	0	1	2	26	6	14	6
gene-PA0193	NC_002516.2	221585	222487	+	903	3	5	3	11	8	0	1	1	6	3	5	1
gene-PA0194	NC_002516.2	222555	223454	+	900	4	5	1	15	4	0	1	3	7	1	6	3
gene-PA0195	NC_002516.2	224101	225219	+	1119	6	20	8	45	21	0	4	7	22	4	10	5
gene-PA0195.1	NC_002516.2	225295	225603	+	309	4	6	3	9	5	0	0	2	14	0	6	5
gene-PA0196	NC_002516.2	225603	227039	+	1437	10	48	17	72	46	0	8	8	56	8	28	11
gene-PA0197	NC_002516.2	227382	228194	+	813	2	5	4	5	3	0	1	1	9	0	7	3
gene-PA0198	NC_002516.2	228223	228942	+	720	2	24	7	32	16	0	1	1	14	0	7	2
gene-PA0199	NC_002516.2	228944	229345	+	402	2	44	5	35	19	0	3	0	17	0	2	3
gene-PA0200	NC_002516.2	229526	229738	-	213	3	131	3	142	60	0	0	2	18	1	6	0
gene-PA0201	NC_002516.2	229954	230535	+	582	8	106	6	118	93	0	3	6	16	5	14	12
gene-PA0202	NC_002516.2	230543	232000	-	1458	5	61	9	67	61	2	6	2	22	4	17	12
gene-PA0203	NC_002516.2	232066	233100	-	1035	2	7	3	9	5	2	2	1	4	5	10	10
gene-PA0204	NC_002516.2	233123	233932	-	810	6	8	7	13	9	0	3	1	17	4	12	10
gene-PA0205	NC_002516.2	233929	234849	-	921	9	17	13	43	19	0	9	3	24	10	30	12
gene-PA0206	NC_002516.2	234875	235987	-	1113	9	12	7	24	22	0	10	3	27	4	19	11
gene-PA0207	NC_002516.2	236218	237111	+	894	3	15	1	12	15	0	2	5	30	4	11	5
gene-PA0208	NC_002516.2	237232	238896	+	1665	24	38	16	45	38	0	13	16	173	14	59	17
gene-PA0209	NC_002516.2	238896	239777	+	882	1	2	1	9	1	0	0	0	4	1	1	0
gene-PA0210	NC_002516.2	239779	240078	+	300	0	0	1	3	3	0	0	0	0	1	2	0
gene-PA0211	NC_002516.2	240071	240934	+	864	0	4	3	7	4	0	3	2	2	3	3	1
gene-PA0212	NC_002516.2	240931	241737	+	807	6	6	3	9	11	0	2	2	6	3	2	1
gene-PA0213	NC_002516.2	241753	242445	+	693	3	8	0	5	0	0	1	1	5	1	4	1
gene-PA0214	NC_002516.2	242442	243374	+	933	6	15	0	18	10	0	4	3	9	3	19	1
gene-PA0215	NC_002516.2	243431	243835	+	405	5	11	2	21	16	0	2	2	8	1	10	6
gene-PA0216	NC_002516.2	243841	244605	+	765	16	20	16	28	25	0	10	5	42	10	34	18
gene-PA0217	NC_002516.2	244690	245619	-	930	8	25	11	44	22	1	5	7	34	6	25	25
gene-PA0218	NC_002516.2	245948	246868	-	921	7	31	10	39	18	1	5	5	21	1	15	9
gene-PA0219	NC_002516.2	247219	248709	+	1491	2	11	4	16	3	0	2	3	13	2	5	5
gene-PA0220	NC_002516.2	248767	250200	+	1434	17	18	9	39	32	0	5	8	54	12	30	8
gene-PA0221	NC_002516.2	250231	251613	+	1383	4	6	2	10	3	0	0	4	10	2	7	6
gene-PA0222	NC_002516.2	251777	252835	+	1059	4	11	3	8	6	0	1	1	15	2	8	5
gene-PA0223	NC_002516.2	252913	253794	-	882	25	37	26	53	48	1	16	9	68	11	48	30
gene-PA0224	NC_002516.2	253854	254636	-	783	9	72	13	81	51	0	3	14	45	11	47	17
gene-PA0225	NC_002516.2	254791	255330	+	540	8	66	13	54	40	1	3	13	33	8	54	16
gene-PA0226	NC_002516.2	255481	256332	+	852	3	14	6	24	30	0	7	2	25	6	24	6
gene-PA0227	NC_002516.2	256329	257111	+	783	1	8	2	16	9	0	3	7	7	3	9	4
gene-PA0228	NC_002516.2	257108	258313	+	1206	8	19	11	41	13	0	8	6	39	2	22	6
gene-PA0229	NC_002516.2	258463	259761	+	1299	5	29	7	30	24	0	4	11	39	8	29	15
gene-PA0230	NC_002516.2	259784	261163	+	1380	9	22	7	35	28	0	1	13	32	6	26	7
gene-PA0231	NC_002516.2	261179	261970	+	792	4	6	5	14	8	0	4	3	20	2	8	3
gene-PA0232	NC_002516.2	261981	262382	+	402	4	9	2	12	12	0	6	6	21	3	15	4
gene-PA0233	NC_002516.2	262557	263498	+	942	10	26	8	35	31	0	6	9	38	9	28	7
gene-PA0234	NC_002516.2	263689	264522	+	834	11	25	6	28	30	0	3	2	24	8	20	18
gene-PA0235	NC_002516.2	264964	266310	-	1347	3	7	2	16	13	0	3	2	15	3	9	7
gene-PA0236	NC_002516.2	266616	267395	+	780	9	29	11	54	32	0	5	5	34	15	28	3
gene-PA0237	NC_002516.2	267638	268681	+	1044	7	5	8	7	7	0	1	2	11	5	12	2
gene-PA0238	NC_002516.2	268704	269519	+	816	5	9	2	17	7	0	1	1	10	4	6	2
gene-PA0239	NC_002516.2	269669	270547	+	879	3	21	10	24	15	0	4	3	27	4	16	9
gene-PA0240	NC_002516.2	270573	271838	-	1266	12	32	16	30	21	0	6	5	50	6	30	12
gene-PA0241	NC_002516.2	271904	273229	-	1326	7	4	9	10	9	0	4	6	13	1	4	5
gene-PA0242	NC_002516.2	273775	275679	+	1905	9	11	5	18	16	0	5	1	15	6	11	8
gene-PA0243	NC_002516.2	275772	276440	+	669	16	62	18	98	66	2	7	15	70	14	71	16
gene-PA0244	NC_002516.2	276480	277334	-	855	4	14	6	26	18	0	2	5	19	4	18	2
gene-PA0245	NC_002516.2	277331	277777	-	447	0	11	2	7	3	0	2	3	13	1	6	3
gene-PA0246	NC_002516.2	277894	279399	-	1506	9	53	10	69	59	0	6	11	69	9	37	17
gene-PA0247	NC_002516.2	279574	280758	-	1185	8	18	12	27	16	1	4	2	7	9	13	4
gene-PA0248	NC_002516.2	280936	281802	+	867	1	53	12	64	39	0	3	7	57	10	36	21
gene-PA0249	NC_002516.2	281799	282245	-	447	14	36	16	65	42	0	9	8	45	8	41	17
gene-PA0250	NC_002516.2	282323	282757	-	435	9	54	7	81	58	2	10	9	67	12	43	14
gene-PA0251	NC_002516.2	282912	283553	-	642	3	16	6	18	11	1	1	1	18	4	8	11
gene-PA0252	NC_002516.2	283818	284105	-	288	5	16	4	21	21	1	2	9	9	2	17	7
gene-PA0253	NC_002516.2	284197	284673	-	477	30	77	14	127	108	0	9	29	99	24	85	34
gene-PA0254	NC_002516.2	284714	286204	-	1491	13	30	18	51	26	0	7	8	40	6	31	10
gene-PA0255	NC_002516.2	286338	287024	-	687	21	97	12	79	49	1	8	18	73	7	45	36
gene-PA0256	NC_002516.2	287188	288120	-	933	10	44	15	72	31	0	4	10	53	10	26	23
gene-PA0257	NC_002516.2	288384	289175	-	792	18	89	11	64	32	3	6	16	80	9	48	36
gene-PA0258	NC_002516.2	289205	289390	-	186	3	48	3	39	19	0	3	11	39	4	25	15
